Rank,School,Conference,Power Rating,oe,de,tempo,id,RANK,TEAM,2021-22 RECORD,POINTS
1,Gonzaga,WCC,28.05,121.37,90.72,72.70,277,RANK,TEAM,2021-22 RECORD,POINTS
2,North Carolina,ACC,25.05,117.41,92.51,70.24,21,1,North Carolina (47),29-10,1532
3,Houston,Amer,25.03,114.53,88.89,64.10,6,2,Gonzaga (12),28-4,1479
4,Kentucky,SEC,24.72,114.76,89.87,67.61,268,3,Houston (1),32-6,1404
5,Baylor,B12,24.53,114.15,89.53,67.20,108,4,Kentucky (2),26-8,1364
6,UCLA,P12,24.31,115.45,91.70,64.90,253,T-5,Baylor,27-7,1200
7,Tennessee,SEC,23.85,111.27,87.40,67.04,277,T-5,Kansas,34-6,1200
8,Kansas,B12,23.55,112.09,89.14,68.79,106,7,Duke,32-7,1168
9,Arizona,P12,23.34,114.31,92.43,70.90,247,8,UCLA,27-8,1093
10,Duke,ACC,23.32,114.45,92.65,68.20,26,9,Creighton,23-12,1060
11,Texas,B12,23.12,110.90,88.60,63.77,109,10,Arkansas,28-9,1026
12,Arkansas,SEC,22.98,110.63,88.57,71.10,276,11,Tennessee,27-8,880
13,Indiana,B10,22.88,111.62,90.06,67.22,93,12,Texas,22-12,844
14,Creighton,BE,22.33,111.47,91.12,67.70,61,13,Indiana,24-14,745
15,San Diego St.,MWC,22.22,109.15,88.41,65.30,212,14,TCU,21-13,735
16,Villanova,BE,22.21,111.54,91.47,63.25,58,15,Auburn,28-6,623
17,Illinois,B10,22.14,111.04,91.01,67.66,102,16,Villanova,30-8,578
18,Texas Tech,B12,22.07,108.43,87.83,66.47,111,17,Arizona,33-4,543
19,Auburn,SEC,22.05,110.26,90.23,70.10,279,18,Virginia,21-14,462
20,TCU,B12,22.04,110.74,90.85,65.94,114,19,San Diego State,23-9,394
21,Alabama,SEC,22.03,111.56,91.92,72.50,275,20,Alabama,19-14,281
22,Florida,SEC,21.99,111.88,92.43,68.70,271,21,Oregon,19-15,260
23,Purdue,B10,21.98,114.29,95.51,65.91,94,22,Michigan,19-15,229
24,Dayton,A10,21.93,111.50,92.07,64.20,44,23,Illinois,23-10,215
25,Connecticut,BE,21.92,110.70,91.08,65.50,3,24,Dayton,24-11,170
26,Virginia,ACC,21.90,110.19,90.48,59.56,22,25,Texas Tech,27-10,122
27,Michigan St.,B10,21.88,112.11,92.96,67.90,97,,,,
28,Oregon,P12,21.70,112.86,94.32,67.38,245,,,,
29,USC,P12,21.62,111.43,92.68,66.77,246,,,,
30,Iowa,B10,21.58,114.10,96.19,69.77,91,,,,
31,Michigan,B10,21.28,110.90,92.78,66.97,95,,,,
32,Notre Dame,ACC,20.93,113.17,96.47,66.30,25,,,,
33,Oklahoma St.,B12,20.54,107.00,89.50,68.66,113,,,,
34,UAB,CUSA,20.36,111.80,96.03,67.95,134,,,,
35,Virginia Tech,ACC,20.28,109.62,93.43,64.10,31,,,,
36,Xavier,BE,20.11,110.24,94.60,68.45,59,,,,
37,Ohio St.,B10,20.09,110.28,94.69,65.54,98,,,,
38,Oklahoma,B12,19.85,109.00,93.60,65.07,105,,,,
39,Saint Louis,A10,19.68,110.21,95.53,67.87,54,,,,
40,Memphis,Amer,19.38,106.16,91.06,70.55,7,,,,
41,Seton Hall,BE,19.33,108.42,94.06,66.35,60,,,,
42,Cincinnati,Amer,19.30,108.35,94.04,67.60,4,,,,
43,Stanford,P12,19.25,107.63,93.24,66.83,254,,,,
44,Texas A&M,SEC,19.22,108.10,93.90,65.93,270,,,,
45,Miami FL,ACC,19.18,110.60,97.18,67.81,23,,,,
46,St. John's,BE,19.16,108.12,94.06,73.44,67,,,,
47,North Texas,CUSA,19.09,107.70,93.68,61.48,141,,,,
48,Saint Mary's,WCC,19.02,105.55,91.10,63.47,335,,,,
49,Missouri,SEC,18.99,110.70,97.74,67.36,208,,,,
50,BYU,WCC,18.94,107.08,93.23,68.10,336,,,,
51,LSU,SEC,18.82,106.98,93.39,66.47,269,,,,
52,Rutgers,B10,18.80,106.45,92.76,65.75,103,,,,
53,Syracuse,ACC,18.69,111.66,99.63,67.86,30,,,,
54,Drake,MVC,18.69,109.98,97.50,66.50,211,,,,
55,Wisconsin,B10,18.66,105.83,92.27,65.71,96,,,,
56,Furman,SC,18.60,110.76,98.70,65.90,283,,,,
57,Florida St.,ACC,18.55,107.55,94.73,68.50,29,,,,
58,Maryland,B10,18.47,108.58,96.21,67.50,92,,,,
59,VCU,A10,18.42,103.52,89.89,68.88,45,,,,
60,Mississippi,SEC,18.38,106.49,93.75,65.54,219,,,,
61,Loyola Chicago,A10,18.33,106.49,93.86,64.58,274,,,,
62,Wyoming,MWC,18.20,109.35,97.82,67.55,209,,,,
63,Utah St.,MWC,18.12,106.35,94.18,67.22,220,,,,
64,Marquette,BE,18.10,107.23,95.34,70.86,65,,,,
65,West Virginia,B12,18.05,106.89,95.02,68.41,107,,,,
66,Washington St.,P12,18.02,105.56,93.40,67.20,256,,,,
67,Providence,BE,17.83,106.98,95.63,65.89,63,,,,
68,Liberty,ASun,17.80,108.95,98.20,64.31,84,,,,
69,Colorado,P12,17.78,105.32,93.63,67.30,250,,,,
70,Clemson,ACC,17.75,106.79,95.57,65.80,27,,,,
71,Boston College,ACC,17.35,106.09,95.60,64.90,35,,,,
72,Tulane,Amer,17.29,107.92,98.05,67.97,10,,,,
73,Temple,Amer,17.24,106.08,95.83,67.35,2,,,,
74,Arizona St.,P12,17.23,103.66,92.76,69.10,255,,,,
75,Northwestern,B10,17.13,105.72,95.63,67.67,100,,,,
76,Western Kentucky,CUSA,17.07,107.95,98.59,68.34,144,,,,
77,Penn St.,B10,17.07,105.91,96.00,61.99,101,,,,
78,Boise St.,MWC,16.96,103.57,93.28,65.90,215,,,,
79,Louisville,ACC,16.83,104.30,94.50,66.78,24,,,,
80,Mississippi St.,SEC,16.68,104.81,95.50,65.46,278,,,,
81,Toledo,MAC,16.67,108.60,100.32,68.70,183,,,,
82,Florida Atlantic,CUSA,16.56,107.19,98.78,67.80,145,,,,
83,Washington,P12,16.54,103.60,94.27,71.86,249,,,,
84,Vanderbilt,SEC,16.52,104.06,94.88,68.17,273,,,,
85,Colorado St.,MWC,16.50,106.09,97.52,66.70,217,,,,
86,Fresno St.,MWC,16.40,104.00,95.10,62.90,213,,,,
